timestamp, power.draw [W]
2026/07/24 12:12:37.718, 6.07 W
2026/07/24 12:12:38.726, 6.07 W
2026/07/24 12:12:39.726, 6.22 W
2026/07/24 12:12:40.726, 6.17 W
2026/07/24 12:12:41.726, 6.17 W
2026/07/24 12:12:42.726, 6.22 W
2026/07/24 12:12:43.726, 6.07 W
2026/07/24 12:12:44.726, 6.12 W
2026/07/24 12:12:45.726, 6.17 W
2026/07/24 12:12:46.727, 6.07 W
2026/07/24 12:12:47.727, 6.12 W
2026/07/24 12:12:48.727, 6.17 W
2026/07/24 12:12:49.727, 6.07 W
2026/07/24 12:12:50.727, 6.12 W
2026/07/24 12:12:51.727, 6.12 W
2026/07/24 12:12:52.727, 6.12 W
2026/07/24 12:12:53.727, 6.17 W
2026/07/24 12:12:54.727, 6.07 W
2026/07/24 12:12:55.727, 6.17 W
2026/07/24 12:12:56.727, 6.22 W
2026/07/24 12:12:57.728, 6.07 W
2026/07/24 12:12:58.728, 6.07 W
2026/07/24 12:12:59.728, 6.07 W
2026/07/24 12:13:00.728, 6.03 W
2026/07/24 12:13:01.728, 6.07 W
2026/07/24 12:13:02.728, 6.07 W
2026/07/24 12:13:03.728, 6.12 W
2026/07/24 12:13:04.728, 6.17 W
2026/07/24 12:13:05.728, 6.12 W
2026/07/24 12:13:06.728, 6.17 W
2026/07/24 12:13:07.728, 6.12 W
2026/07/24 12:13:08.729, 6.07 W
2026/07/24 12:13:09.729, 6.17 W
2026/07/24 12:13:10.729, 6.12 W
2026/07/24 12:13:11.729, 6.07 W
2026/07/24 12:13:12.729, 6.22 W
2026/07/24 12:13:13.729, 6.32 W
2026/07/24 12:13:14.729, 11.44 W
2026/07/24 12:13:15.729, 21.21 W
2026/07/24 12:13:16.729, 21.31 W
2026/07/24 12:13:17.730, 20.83 W
2026/07/24 12:13:18.730, 57.39 W
2026/07/24 12:13:19.730, 59.10 W
2026/07/24 12:13:20.730, 59.52 W
2026/07/24 12:13:21.730, 60.16 W
2026/07/24 12:13:22.730, 60.62 W
2026/07/24 12:13:23.730, 59.61 W
