timestamp, power.draw [W]
2026/07/17 17:37:32.444, 20.65 W
2026/07/17 17:37:33.447, 20.65 W
2026/07/17 17:37:34.447, 20.69 W
2026/07/17 17:37:35.447, 20.74 W
2026/07/17 17:37:36.447, 20.74 W
2026/07/17 17:37:37.447, 20.74 W
2026/07/17 17:37:38.447, 20.74 W
2026/07/17 17:37:39.447, 20.74 W
2026/07/17 17:37:40.448, 20.74 W
2026/07/17 17:37:41.448, 20.74 W
2026/07/17 17:37:42.448, 20.74 W
2026/07/17 17:37:43.448, 20.74 W
2026/07/17 17:37:44.448, 20.74 W
2026/07/17 17:37:45.448, 20.74 W
2026/07/17 17:37:46.448, 20.74 W
2026/07/17 17:37:47.448, 20.74 W
2026/07/17 17:37:48.448, 20.74 W
2026/07/17 17:37:49.449, 20.74 W
2026/07/17 17:37:50.449, 20.74 W
2026/07/17 17:37:51.449, 20.74 W
2026/07/17 17:37:52.449, 20.74 W
2026/07/17 17:37:53.449, 20.74 W
2026/07/17 17:37:54.449, 20.74 W
2026/07/17 17:37:55.449, 20.69 W
2026/07/17 17:37:56.449, 20.69 W
2026/07/17 17:37:57.450, 20.69 W
2026/07/17 17:37:58.450, 20.69 W
2026/07/17 17:37:59.450, 20.69 W
2026/07/17 17:38:00.450, 20.69 W
2026/07/17 17:38:01.450, 20.74 W
2026/07/17 17:38:02.450, 20.74 W
2026/07/17 17:38:03.450, 20.74 W
2026/07/17 17:38:04.451, 20.74 W
2026/07/17 17:38:05.451, 20.74 W
2026/07/17 17:38:06.451, 20.74 W
2026/07/17 17:38:07.451, 20.74 W
2026/07/17 17:38:08.451, 20.74 W
2026/07/17 17:38:09.451, 22.43 W
2026/07/17 17:38:10.452, 22.14 W
2026/07/17 17:38:11.452, 22.17 W
2026/07/17 17:38:12.452, 21.96 W
2026/07/17 17:38:13.452, 54.56 W
2026/07/17 17:38:14.452, 60.17 W
2026/07/17 17:38:15.452, 60.30 W
2026/07/17 17:38:16.453, 59.87 W
2026/07/17 17:38:17.453, 60.33 W
2026/07/17 17:38:18.453, 60.32 W
2026/07/17 17:38:19.453, 59.89 W
2026/07/17 17:38:20.453, 59.79 W
2026/07/17 17:38:21.453, 60.01 W
2026/07/17 17:38:22.453, 59.91 W
2026/07/17 17:38:23.454, 59.91 W
2026/07/17 17:38:24.454, 60.20 W
2026/07/17 17:38:25.454, 59.95 W
2026/07/17 17:38:26.454, 59.68 W
2026/07/17 17:38:27.454, 59.72 W
2026/07/17 17:38:28.454, 60.12 W
2026/07/17 17:38:29.454, 60.20 W
2026/07/17 17:38:30.455, 59.69 W
2026/07/17 17:38:31.455, 60.52 W
2026/07/17 17:38:32.455, 60.20 W
2026/07/17 17:38:33.455, 60.08 W
2026/07/17 17:38:34.455, 60.38 W
2026/07/17 17:38:35.456, 59.88 W
2026/07/17 17:38:36.456, 60.10 W
2026/07/17 17:38:37.456, 60.38 W
2026/07/17 17:38:38.456, 60.68 W
2026/07/17 17:38:39.456, 60.02 W
2026/07/17 17:38:40.456, 60.11 W
2026/07/17 17:38:41.456, 60.41 W
2026/07/17 17:38:42.457, 60.00 W
2026/07/17 17:38:43.457, 59.91 W
2026/07/17 17:38:44.457, 60.12 W
2026/07/17 17:38:45.457, 60.01 W
2026/07/17 17:38:46.457, 60.11 W
2026/07/17 17:38:47.457, 59.78 W
2026/07/17 17:38:48.458, 60.37 W
2026/07/17 17:38:49.458, 59.85 W
2026/07/17 17:38:50.458, 60.33 W
2026/07/17 17:38:51.458, 59.83 W
2026/07/17 17:38:52.458, 60.74 W
2026/07/17 17:38:53.458, 59.52 W
2026/07/17 17:38:54.458, 60.39 W
2026/07/17 17:38:55.459, 60.02 W
2026/07/17 17:38:56.459, 60.37 W
2026/07/17 17:38:57.459, 60.70 W
2026/07/17 17:38:58.459, 59.55 W
